Mon_issue,Weekends_issue,Mon_ref,Weekends_ref,W1_issue,log_value_7dav,log_value_7dav_lag1,log_value_7dav_lag7,log_delta_7dav_lag1,log_delta_7dav_lag7,log_value_target,day_diff,value_slope_diff,value_7dav_diff,reference_date,lag,report_date,predicted_tau0.01,predicted_tau0.025,predicted_tau0.1,predicted_tau0.25,predicted_tau0.5,predicted_tau0.75,predicted_tau0.9,predicted_tau0.975,predicted_tau0.99,geo_value,wis,elapsed_time,time_for_preprocessing,time_for_running
0,0,0,0,1,4.99817705917421,5.07873888139832,5.63427926888923,5.07873888139832,5.63427926888923,5.01158722182164,0,0,0,2021-06-01,3,2021-06-04,5.00873713237559,5.0082759967032,5.00691658604789,5.00436720458256,5.00376210896822,5.02404362265922,8.02103336268678,8.08686784126677,8.47014158476459,ma,0.0937382620550542,0.106842041015625,5.78810000419617,1.26434898376465
0,0,1,0,1,5.07873888139832,5.24023415546701,5.73565021350422,5.24023415546701,5.73565021350422,5.07784880568313,0,0,0,2021-05-31,4,2021-06-04,5.08427676560624,5.08342329949675,5.07964614421298,5.08289666113992,5.08484090469128,5.09681611473255,7.95498664463798,8.10296660725515,8.4982597033383,ma,0.0939968939420836,0.291847944259644,5.78810000419617,1.26434898376465
0,0,0,1,1,5.24023415546701,5.28754526956613,5.84519936155471,5.28754526956613,5.84519936155471,5.238719003662,0,0,0,2021-05-30,5,2021-06-04,5.2398518321039,5.23894395974516,5.23915851941661,5.24121670384166,5.24251288257007,5.25041976184371,7.84179147001988,8.16527266638845,8.6097662680114,ma,0.0834696358887468,0.109631061553955,5.78810000419617,1.26434898376465
0,0,0,1,1,5.28754526956613,5.34233425196481,5.88491284608,5.34233425196481,5.88491284608,5.28465300435398,0,0,0,2021-05-29,6,2021-06-04,5.28762290840375,5.28662520784152,5.28752367032665,5.28862585079792,5.28911443842978,5.29593547717899,7.5385951193855,8.22393216380522,8.5952273603564,ma,0.0772132459803544,0.101893901824951,5.78810000419617,1.26434898376465
0,0,0,0,1,5.34233425196481,5.44118008660144,5.93413805191626,5.44118008660144,5.93413805191626,5.33959639946747,0,0,0,2021-05-28,7,2021-06-04,5.34131668465265,5.3419094561125,5.3422937065929,5.34248556637993,5.34363677921469,5.34787482672501,7.78242869378018,8.18936186576157,8.39325864015671,ma,0.0797125665206623,0.102370977401733,5.78810000419617,1.26434898376465
0,0,0,0,1,5.44118008660144,5.54014246880783,5.98967723653389,5.54014246880783,5.98967723653389,5.44427127917112,0,0,0,2021-05-27,8,2021-06-04,5.44042841120133,5.44042841120132,5.44097076862206,5.44108225459963,5.44233899203224,5.44534073463936,7.89673308299665,8.19393119608194,8.39056039756085,ma,0.0768768632227653,0.105003118515015,5.78810000419617,1.26434898376465
0,0,0,0,1,5.54014246880783,5.63427926888923,6.04973345523196,5.63427926888923,6.04973345523196,5.54629289356343,0,0,0,2021-05-26,9,2021-06-04,5.53975408580799,5.53939314139185,5.53958174605595,5.54018342785094,5.54079928121918,5.54316397203344,5.55818787795075,8.21538918119722,8.39056039756085,ma,0.0230865424555304,0.106559991836548,5.78810000419617,1.26434898376465
0,0,0,0,1,5.63427926888923,5.73565021350422,6.11210065174677,5.73565021350422,6.11210065174677,5.63274670153945,0,0,0,2021-05-25,10,2021-06-04,5.633567830107,5.63356783010699,5.6333845540072,5.63412640784147,5.63469338093473,5.63591271270549,5.64888828804315,8.22778034850066,8.44825596313648,ma,0.0221405110027186,0.108025074005127,5.78810000419617,1.26434898376465
0,0,1,0,1,5.73565021350422,5.84519936155471,6.15182042460891,5.84519936155471,6.15182042460891,5.73518885248105,0,0,0,2021-05-24,11,2021-06-04,5.73521261503224,5.73526756224047,5.73503083445648,5.73527181451449,5.73572400920887,5.73701348071694,5.7437331037518,8.28165817548232,8.5325556368499,ma,0.0207537448305202,0.10654091835022,5.78810000419617,1.26434898376465
0,0,0,1,1,5.84519936155471,5.88491284608,6.20887742371321,5.88491284608,6.20887742371321,5.84478588211942,0,0,0,2021-05-23,12,2021-06-04,5.84370133869293,5.84390225770671,5.84475558423212,5.84494017246469,5.84523759084237,5.84585717730198,5.85001591028101,8.31041893116325,8.58225599888609,ma,0.0200408648798446,0.107558012008667,5.78810000419617,1.26434898376465
0,0,0,1,1,5.88491284608,5.93413805191626,6.22002198826627,5.93413805191626,6.22002198826627,5.88491284608,0,0,0,2021-05-22,13,2021-06-04,5.88416723328676,5.88418696201845,5.88461520305152,5.8847200936604,5.88491284608,5.88514955542786,5.88601061799104,5.89327223777401,5.89318587146538,ma,0.0001253833803315,0.107151031494141,5.78810000419617,1.26434898376465
0,1,0,0,1,4.69527202068528,4.86202479464461,5.34370037239585,4.86202479464461,5.34370037239585,4.93755243735778,0,0,0,2021-06-04,1,2021-06-05,4.84656190415544,4.84945303857975,4.83766173877054,4.84125042301983,4.85066513746325,4.99639283790646,8.04867425710459,8.25208931138003,8.65592066178361,ma,0.116997777755248,0.105612993240356,5.78810000419617,1.26434898376465
0,1,0,0,1,4.86202479464461,4.94571574799694,5.44118008660144,4.94571574799694,5.44118008660144,4.93755243735778,0,0,0,2021-06-03,2,2021-06-05,4.90207608411806,4.90280785344325,4.910476688707,4.90721550088121,4.91168359368467,4.95971259158976,7.95268619155459,8.23138237113129,8.63484292987636,ma,0.100182594710719,0.106704950332642,5.78810000419617,1.26434898376465
0,1,0,0,1,4.94571574799694,5.00777406181522,5.53958145897544,5.00777406181522,5.53958145897544,4.95381295822956,0,0,0,2021-06-02,3,2021-06-05,4.95451695455862,4.95470761404854,4.95612917090281,4.95466503843609,4.95240268845663,4.96862702993689,7.98810716815031,8.11858659406879,8.50883904750771,ma,0.0948445717653871,0.110040903091431,5.78810000419617,1.26434898376465
0,1,0,0,1,5.00777406181522,5.08140436498446,5.63325781834076,5.08140436498446,5.63325781834076,5.01158722182164,0,0,0,2021-06-01,4,2021-06-05,5.00882108650461,5.00824828488517,5.00771197067842,5.01087467678154,5.01176436455415,5.02683467596785,8.00532367850855,8.09539495583562,8.50167129778335,ma,0.0924326468516438,0.104799032211304,5.78810000419617,1.26434898376465
0,1,1,0,1,5.08140436498446,5.24174701505964,5.73472727850562,5.24174701505964,5.73472727850562,5.07784880568313,0,0,0,2021-05-31,5,2021-06-05,5.0805846070487,5.07976258952097,5.08049410273415,5.08288813742442,5.08493009846039,5.10046084910161,7.94546833318579,8.05955251319702,8.42919330922021,ma,0.0921658436583183,0.106312990188599,5.78810000419617,1.26434898376465
0,1,0,1,1,5.24174701505964,5.28826703069454,5.84478588211942,5.28826703069454,5.84478588211942,5.238719003662,0,0,0,2021-05-30,6,2021-06-05,5.24078397799919,5.23964810325012,5.24104855090819,5.24272565080209,5.24313858690074,5.24947574555587,7.42665631774736,8.2159118913336,8.39889216445052,ma,0.0750613415266497,0.106752872467041,5.78810000419617,1.26434898376465
0,1,0,1,1,5.28826703069454,5.34370037239585,5.88491284608,5.34370037239585,5.88491284608,5.28465300435398,0,0,0,2021-05-29,7,2021-06-05,5.28706234355728,5.28683945108977,5.28775814614904,5.28868536380076,5.28954762164415,5.29467048697505,7.82145584359015,8.22397062814054,8.39323133252813,ma,0.0830081368177041,0.101907968521118,5.78810000419617,1.26434898376465
0,1,0,0,1,5.34370037239585,5.44118008660144,5.93564976800159,5.44118008660144,5.93564976800159,5.33959639946747,0,0,0,2021-05-28,8,2021-06-05,5.34296216339494,5.34296216339494,5.34349480438549,5.34356447148204,5.3450056966529,5.34895557367915,7.70838667755553,8.20624695179438,8.4966339075704,ma,0.07961298964406,0.104436159133911,5.78810000419617,1.26434898376465
0,1,0,0,1,5.44118008660144,5.53958145897544,5.99467367804893,5.53958145897544,5.99467367804893,5.44427127917112,0,0,0,2021-05-27,9,2021-06-05,5.44046314253804,5.44044414426112,5.44058898862482,5.44120187929947,5.44209685346141,5.44481892360588,5.45814906209939,8.20780847774839,8.50193895308744,ma,0.0230102994936858,0.10628604888916,5.78810000419617,1.26434898376465
0,1,0,0,1,5.53958145897544,5.63325781834076,6.05443934626937,5.63325781834076,6.05443934626937,5.54629289356343,0,0,0,2021-05-26,10,2021-06-05,5.53882043645155,5.53884805552698,5.53872606281443,5.53926877010619,5.54006247600918,5.54189838381848,5.5535911711519,8.19609566750919,8.44728624838841,ma,0.0233709958228477,0.110491991043091,5.78810000419617,1.26434898376465
0,1,0,0,1,5.63325781834076,5.73472727850562,6.11683775203104,5.73472727850562,6.11683775203104,5.63274670153945,0,0,0,2021-05-25,11,2021-06-05,5.63281291813675,5.63281951341937,5.63260196854856,5.63289106095552,5.63331691264891,5.63470459997751,5.64363365132064,8.22678808400595,8.47592625971274,ma,0.0212011987024802,0.106718778610229,5.78810000419617,1.26434898376465
0,1,1,0,1,5.73472727850562,5.84478588211942,6.15607058279788,5.84478588211942,6.15607058279788,5.73518885248105,0,0,0,2021-05-24,12,2021-06-05,5.73465777499109,5.73456643036985,5.73436258025231,5.7343923293002,5.73475130074522,5.73538181931688,5.74069018168939,8.26822245732802,8.55882254636137,ma,0.0205959904229889,0.110011100769043,5.78810000419617,1.26434898376465
0,1,0,1,1,5.84478588211942,5.88491284608,6.2131785056126,5.88491284608,6.2131785056126,5.84478588211942,0,0,0,2021-05-23,13,2021-06-05,5.84470648600417,5.84472612066319,5.84451857485428,5.84468032240511,5.84478588211942,5.84494452193098,5.84570413205071,5.85518938091161,5.85528489875398,ma,0.0001226602744039,0.107898950576782,5.78810000419617,1.26434898376465
0,1,0,1,0,4.75605021694723,4.85314571300348,5.28247830251829,4.85314571300348,5.28247830251829,4.90209512552105,0,0,0,2021-06-05,1,2021-06-06,4.87011683143489,4.86592976099457,4.86130986509249,4.86424081136467,4.86812129678534,5.02419888039317,8.2632518037998,8.30838135754766,8.63176593274786,ma,0.115744090316148,0.106310844421387,5.78810000419617,1.26434898376465
0,1,0,0,0,4.85314571300348,4.91998092582813,5.33822465713989,4.91998092582813,5.33822465713989,4.93755243735778,0,0,0,2021-06-04,2,2021-06-06,4.89312386038406,4.89385429334429,4.90092650918996,4.89832067657255,4.90410105833013,4.95876982922445,8.22798664270242,8.31140283062387,8.63459723405111,ma,0.108310541821491,0.103858947753906,5.78810000419617,1.26434898376465
0,1,0,0,0,4.91998092582813,4.94469897109185,5.4380793089232,4.94469897109185,5.4380793089232,4.93755243735778,0,0,0,2021-06-03,3,2021-06-06,4.92803383050874,4.92892079404966,4.93152561576973,4.9297657589896,4.92759596815223,4.94648680997423,8.15089886439242,8.23874626190114,8.55534394162099,ma,0.100025457781914,0.108180999755859,5.78810000419617,1.26434898376465
0,1,0,0,0,4.94469897109185,5.002987073258,5.53733426701854,5.002987073258,5.53733426701854,4.95381295822956,0,0,0,2021-06-02,4,2021-06-06,4.94724448335047,4.9467697607485,4.94548530589936,4.94848729017296,4.94829196462379,4.96412394260491,8.14463267091057,8.18838322274711,8.5455031755073,ma,0.0985794044185617,0.107321977615356,5.78810000419617,1.26434898376465
0,1,0,0,0,5.002987073258,5.07428055925661,5.63223532336415,5.07428055925661,5.63223532336415,5.01158722182164,0,0,0,2021-06-01,5,2021-06-06,5.00300821343836,5.00228844470497,5.00355852525173,5.00484289394832,5.00576870790367,5.02100066300378,7.90631604116213,8.23621254336164,8.63612174786683,ma,0.0920897085832429,0.110081911087036,5.78810000419617,1.26434898376465
0,1,1,0,0,5.07428055925661,5.23568179555655,5.73472727850562,5.23568179555655,5.73472727850562,5.07784880568313,0,0,0,2021-05-31,6,2021-06-06,5.07489275666778,5.07298029300489,5.07380573785231,5.07544190098607,5.07610866520067,5.08289254478675,7.25662908479822,8.30056606215713,8.69803746709138,ma,0.0750969238264516,0.106945037841797,5.78810000419617,1.26434898376465
0,1,0,1,0,5.23568179555655,5.28247830251829,5.84478588211942,5.28247830251829,5.84478588211942,5.238719003662,0,0,0,2021-05-30,7,2021-06-06,5.23374049990174,5.23420791354613,5.23533998108439,5.23609027042395,5.23698092387964,5.24149100034423,7.52822930493808,8.292957243218,8.71119297786799,ma,0.0761669806173505,0.249197959899902,5.78810000419617,1.26434898376465
0,1,0,1,0,5.28247830251829,5.33822465713989,5.88491284608,5.33822465713989,5.88491284608,5.28465300435398,0,0,0,2021-05-29,8,2021-06-06,5.28084573764102,5.28084573764101,5.2822750896735,5.28231786309199,5.28385645163737,5.28637441498787,7.5793275764852,8.21917531442108,8.71294792722089,ma,0.0753104276286096,0.107344150543213,5.78810000419617,1.26434898376465
0,1,0,0,0,5.33822465713989,5.4380793089232,5.93564976800159,5.4380793089232,5.93564976800159,5.33959639946747,0,0,0,2021-05-28,9,2021-06-06,5.33717323785158,5.33715589058127,5.3374149075503,5.33815633105319,5.33916145802035,5.34141924321384,5.35306819470711,8.12701916914373,8.73804841221244,ma,0.0236341913749047,0.109183073043823,5.78810000419617,1.26434898376465
